number,easychair,date,authors,title,advertisement,abstract,location
0,,3/11/2020,7:00 PM - 10:00 PM,Wednesday Workshops,,,
101,761,3/11/2020,Ursula Wolz; Christopher Dunne; Tayna Dixon,Learning to Code in the Unity 3D Development Platform,"<p>Build a game in Unity in four easy steps (but not a blockbuster.) Game development has been promoted as a vehicle for teaching computer science for over a decade. The Unity 3D Development Platform is one of the leading game engines used both by hobbyists and professionals. Its underlying data structure is an object-base implemented in C#. In this workshop you will have an opportunity to quickly learn your way around the substantial development environment, examine how drag and drop is used to define data structures, and how game development is dependent on good OOP style. Pressing questions will be addressed such as 'Can you transition from Scratch to Unity gracefully?', 'Will starting in Unity promote good programming habits?', 'Is there more to this than shooting and vivid blood?' Solid knowledge of OOP and a passion for games is suggested. A fully charged laptop loaded with Unity is required. Scratchers welcome!</p>","<p>Unity (Unity.com) is thought of as a game engine, however in recent years it is identified as a real-time 3D development platform. Part of its power is the underlying object hierarchy of 2D and 3D visual, interactive, audio, and physics objects that can be fully defined in a sophisticated drag and drop development environment. Another part of its power is that it is fully programmable in C#. In fact, fully implementing a project requires 'hooking up' C# functions. Via C# you can even customize the development environment. The bottleneck for Unity designers is learning to navigate the requisite C# code. Unity is gradually being used in courses and workshops outside of the SIGCSE community to teach coding, especially at the high school level. It also has a substantial following among independent novice game developers who do not have formal training in computer science. This workshop is an opportunity for CS educators to (1) get an intense introduction to the Unity development environment, (2) have the object model explained using well-established SIGCSE terminology and perspective, (3) explore and discuss the feasibility of using Unity to teach introductory computer science.</p>",C120
102,771,3/11/2020,Debasis Bhattacharya; Mohammad Azhar; Rajiv Malkan,"Introduction to Bitcoins, Blockchains and Smart Contracts","<p>Come to this workshop to learn about Bitcoins and Blockchains! Write a smart contract using the Solidity programming language! In this workshop, you will have the opportunity to learn about programming smart contracts using blockchains and how to teach this technology in the classroom. We will cover the basics of the Solidity programming language used to create smart contracts. Please bring a laptop so that we can access <a href=""https://ethereum.org"">https://ethereum.org</a>.</p>","<p>This workshop introduces participants to bitcoins, blockchains and programming smart contracts using Ethereum Blockchains and the Solidity programming language. Cryptocurrencies such as Bitcoins use Blockchains and Smart Contracts to enforce transactions. Given the popularity of Bitcoins and related technologies in the press, this module provides a module for CS educators to introduce the underlying technology into their classrooms. Participants receive handouts describing sample programming techniques and worksheets for creating basic smart contracts. The workshop proceeds in three sessions in which we: present the underlying technology of Ethereum; practice the creation of smart contracts using the Solidity programming language; and discuss the implementation of this module in our classrooms in small groups. Further information, sample code and workshop handouts are at: <a href=""http://maui.hawaii.edu/cybersecurity"">http://maui.hawaii.edu/cybersecurity</a>.</p>",C122
103,147,3/11/2020,Neil Brown; Michael K&ouml; lling,Blackbox Mini - Getting started with source code analysis,"<p>The Blackbox project has been collecting a large data set of programming source code from novice programmers for several years, showing the edits that people make to their code and the ensuing compiler errors. This data is available for use by other researchers, but the data set is very large and can be intimidating to get started with. This workshop is aimed at researchers who are interested in analysing the source code that novice programmers write, and want a simpler way to get started.
This workshop works with the new Blackbox Mini dataset which is specifically designed to make it easier for researchers to get started with using the data and trialling source code analysis to answer their research questions.
Participants will come away with some experience of performing source analysis, and an understanding of the benefits and challenges involved with using source code analysis in their research into programming education.
Participants should come with their own laptop, equipped with wifi access and an SSH client (PuTTY on Windows, built-in to Mac and Linux). Familiarity with the Java programming language is assumed but all detailed technical knowledge will be taught during the seminar.</p>
<p>Equipment Required. Participants must bring a laptop to equipment.</p>","<p>The Blackbox project collects programming activity data from users of BlueJ, a Java IDE aimed at novices. The Blackbox data set has grown very large, with several terabytes of source code data. This is a double-edged sword; it provides large amounts of data for analysis, but it can be difficult for newcomer researchers to get started with analysis. In this workshop we will introduce attendees to analysing the data by using Blackbox Mini: a new curated subset of the Blackbox data set, designed to help researchers try out their source code analyses on a smaller data set.</p>",C125
104,18,3/11/2020,Paul Tymann; Yasmine El-Glaly; Daniel Krutz,Experiential Accessibility Learning Labs for Computing Education,"<p>This workshop will support participants in easily including educational accessibility material into their computing and non-computing classroom. Since all activities and materials are accessible through a browser, adopters will not be required to install or configure anything.
The workshop will enable participants to both learn about our provided educational accessibility material, and will also allow participants to discuss best practices for the inclusion of educational accessibility materials in their curricula.
Participants will gain an understanding of common best practices for including accessibility in their curriculum and will gain an understanding of how to use our material.
Participants will only need a laptop with internet connection. No prior knowledge of accessibility or technical topics is required.</p>
<p>Equipment Recommended. It is recommended, but not required, that participants bring a equipment.</p>","<p>This workshop will introduce our Accessibility Learning Labs (ALL). The objectives of this collaborative project with The National Technical Institute for the Deaf (NTID) are to both inform participants about foundational topics in accessibility and to demonstrate the importance of creating accessible software. The labs enable easy classroom inclusion by providing instructors all necessary materials including lecture and activity slides and videos. Each lab addresses an accessibility issue and contains: I) Relevant background information on the examined issue II) An example web-based application containing the accessibility problem III) A process to emulate this accessibility problem IV) Details about how to repair the problem from a technical perspective V) Incidents from people who encountered this accessibility issue and how it has impacted their life. 
The labs may be integrated into a wide variety of curriculum at high schools (9-12), and in undergraduate and graduate courses. The labs will be easily adoptable due to their self-contained nature and their inclusion of all necessary instructional material (e.g., slides, quizzes, etc.). No special software is required to use any portion of the labs since they are web-based and are able to run on any computer with a reasonably recent web browser. There are currently four available labs on the topics of: Colorblindness, Hearing, Blindness and Dexterity. Material is available on our website: <a href=""http://all.rit.edu"">http://all.rit.edu</a>. </p>
",B110
105,87,3/11/2020,Elizabeth Shoop; Joel Adams; Richard Brown; Suzanne Matthews,Introducing Beginners to Distributed Computing using Raspberry Pi Clusters,"<p>Do you need a fast way to incorporate parallel and distributed computing (PDC) topics into your computer science curriculum without radically changing your syllabus? Are you fretting about ABET's new PDC requirements? Don't worry - it's easy as pi! Join us in this fun hands-on workshop where we will show you how to introduce students to PDC concepts using affordable Raspberry Pi Beowulf clusters. This workshop is based on part of our NSF-sponsored 2019 CSinParallel summer workshop. All teaching and other workshop materials are freely available at <a href-""http://CSinParallel.org"">CSinParallel.org</a>.</p>","<p>The 2019 ABET computer science criteria requires that all computing students learn parallel and distributed computing (PDC) as undergraduates, and CS2013 recommends at least fifteen hours of PDC in the undergraduate curriculum. Consequently, many educators are looking for easy ways to integrate PDC into courses at their institutions. This hands-on workshop introduces Message Passing Interface (MPI) basics in C/C++ and Python using clusters of Raspberry Pi single-board computers. The Message Passing Interface (MPI) is a multi-language, platform independent, industry-standard library for parallel and distributed computing. Raspberry Pis are an inexpensive and engaging hardware platform for studying PDC as early as the first course. Participants will experience how to teach distributed computing essentials with MPI by means of reusable, effective ""parallel patterns,"" including single program multiple data (SPMD) execution, send-receive message passing, the master-worker pattern, parallel loop patterns, and other common patterns. No prior experience with MPI, PDC, or the Raspberry Pi is expected; participants will explore short programs designed to help students understand MPI basics, plus longer ""exemplar"" programs that use MPI to solve significant applied problems. The workshop includes: (i) personal experience with the Raspberry Pi (clusters provided); (ii) assembly of Beowulf clusters of Raspberry Pis quickly in the classroom; (iii) self-paced hands-on experimentation with the working MPI programs; and (iv) a discussion of how these may be used to achieve the goals of CS2013 and ABET. All materials from this workshop will be freely available from CSinParallel.org ; participants should bring a laptop to access these materials.</p>",B112
106,816,3/11/2020,Margarethe Posch; Debra Duke; Chris Mayfield,Guiding Students to Discover CS Concepts and Develop Process Skills Using POGIL,"<p>Would you like to make your students feel more engaged, accomplished, and empowered? Then this hands-on, interactive workshop is for you! POGIL stands for Process Oriented Guided Inquiry Learning. It is a student-centered, active learning approach that organizes students in teams with specific roles. This workshop is for instructors who have limited or no experience with POGIL and anyone who would like to integrate active learning techniques in their classrooms.</p>
<p?During the workshop, we will simulate a classroom multiple times. You will experience POGIL activities as a student, and we will model classroom management and facilitation techniques. There will be lots of discussions, both in small groups and as a whole class. Each participant will receive a booklet about POGIL, along with many handouts and examples from Computer Science and other disciplines.</p>
<p>After attending this workshop, you will be able to: <ul>
<li>Describe the essential elements of POGIL pedagogy and philosophy.</li>
<li>Identify student learning outcomes supported by a POGIL classroom.</li>
<li>Make plans to begin implementing POGIL in your own courses.</li></ul></p>
<p>This workshop is just the beginning! The POGIL Project (<a href=""https://pogil.org/"">https://pogil.org/</a>) runs 1-day workshops throughout the year and 3-day workshops during the summer.</p>
<p>Equipment Optional. It is not necessary for participants to bring equipment.</p>","<p>This workshop introduces Process Oriented Guided Inquiry Learning (POGIL) to anyone who teaches CS or related subjects. In a POGIL classroom, teams of 3-4 learners work on activities with a particular structure based on learning cycles. Through scripted inquiry and investigation, learners discover concepts and construct their own knowledge. Using assigned team roles and other scaffolding, learners develop process skills and individual responsibility. The teacher is not a lecturer, but an active facilitator who helps all students to be engaged and achieve the learning objectives. POGIL is an evidence-based approach that has been shown to improve student performance significantly. Workshop participants will work through POGIL activities as students and complete meta-activities designed to introduce core POGIL concepts, practices, and benefits. We will share POGIL materials for a variety of CS courses. For more information, see <a href=""http://IntroCSpogil.org"">http://IntroCSpogil.org</a> and <a href=""http://pogil.org"">http://pogil.org</a>, where you will find activities for CS1, CS2, and other courses.</p>",B113
107,3,3/11/2020,Colleen Lewis; Catherine Ashcraft; Wendy Dubow; Helen Hu; Kyla McMullen,"Leading Conversations about Microaggressions, Bias, and Other Difficult Topics","<p>Have you ever frozen - not knowing what to say - when you heard a comment or question about diversity? Do you want to learn to facilitate an activity that can help you and your colleagues practice responding to bias? Join us!</p>
<p>We will play a research-based game to practice recognizing and responding to bias. The game invites players to respond to challenging scenarios related to subtle bias. Each scenario appears on a card, and players discuss how they would respond. 
You'll get to play the game and learn about strategies for sharing the game with a few faculty, your students, or in a larger workshop. Bringing these skills back to your colleagues is an important way to disseminate and scale strategies for creating more inclusive CS classrooms.
There are no prerequisites for this workshop and attendees will receive copies of the game to continue to learn and share with others.</p>
<p>Equipment Not Required. Participants do not need any equipment.</p>","<p>Many SIGCSE attendees bring what they learn at SIGCSE back to their colleagues. In our well attended Special Sessions at SIGCSE in 2018 and 2019, attendees learned to respond to bias, which might be more difficult to bring back to their colleagues. This workshop will prepare attendees to lead interactive-sessions about responding to bias at their institution or at other conferences. The workshop will begin by modeling an interactive-session with updated materials from SIGCSE 2019. The workshop attendees will then explore facilitation strategies, ways of managing difficult conversations, and all attendee concerns. All attendees will receive printed copies of the game to use at their institution or to local conferences.</p>",B115
108,804,3/11/2020,Chris Granade; Mariia Mykhailova; Mark Tsang,Introduction to Quantum Computing,"<p>Come experience the quantum revolution! In this workshop, you will have the opportunity to learn about quantum computing and to experience how Microsoft is teaching students quantum computing, using katas, Q# curriculum and the Microsoft Quantum Development Kit, with an exclusive case study on curriculum development with the University of Washington.</p>","<p>In just hours or days, a quantum computer can solve complex problems that would otherwise take billions of years for today's computers to solve. This has massive implications for research and workforce development for healthcare, energy, and environmental systems. Microsoft is focused on bringing the only scalable quantum system to the broadest set of customers and partnering with universities to ensure that we have the people ready to staff the quantum economy and ecosystem of tomorrow.</p>",D133
109,830,3/11/2020,Todd Sproull; Doug Shook; Bill Siever,Machine Learning on the Move: Teaching ML Kit for Firebase in a Mobile Apps Course,"<p>If you are a mobile app developer or teach mobile (iOS or Android) and would like to see applications of machine learning (ML) in apps as well as light-weight ways to include ML in your app/course, come learn about the exciting frmework called ML Kit for Firebase.  With just a few lines of code, you will be able to integrate many real-world Machine Learning (ML) concepts into your mobile application.  You will learn how to use this SDK for both iOS and Android and how to run the ML alogirthms on your device or in the cloud.</p><p>Equipment Required.  Participants must bring a laptop or equipment.</p>","<p>This workshop will teach instructors how to incorporate Machine Learning into their mobile course using ML Kit for Firebase. ML Kit provides powerful machine learning functionality to your app running either iOS or Android and is for both experienced and novice machine learning developers. With just a few lines of code you can use these powerful and easy to use machine learning packages. This workshop will focus on using machine learning in mobile applications to solve real-world problems.</p>
<p>In Part I of the workshop we will explore some of the functionality ML Kit provides. Topics include text recognition, facial detection, recognizing points of interest, image characterization and labeling. In Part II we will integrate several of these features into fully functional apps running on iOS or Android. In Part III we will explore tradeoffs between executing ML Kit in the cloud and on a device. Also, we will discuss how to take your own TensorFlow Lite models and make them accessible through convenient APIs in ML Kit.</p><p>
This workshop is targeted for instructors teaching a web development or mobile application course looking to incorporate cloud and native ML functionality. It is also suited for anyone wanting to deploy ML applications quickly using a feature-rich API. A laptop running Android Studio or Xcode is required.</p>",D136
110,841,3/11/2020,J&eacute; r&eacute; mie Lumbroso; James Evans,Making manual code review scale,<p>Learn how to scale manual code review to improve student learning.</p>,"<p>Although personalized feedback is believed to improve student learning more than correctness tests alone, resource constraints make it difficult for many CS programs to provide personalized feedback on student programming work. This workshop discusses strategies for reducing the cost of code review, as well as pedagogical benefits that can be reaped once a course implements a robust code review process. We showcase the code review process implemented by Princeton's CS1 and CS2 courses which leverages codePost (https://codepost.io), and will teach participants to implement a similar process. </p>
<p>codePost is a tool that allows instructors to annotate code with comments, points, and rubrics in a GUI. Beyond code annotation, codePost also includes three classes of functionality that Princeton leverages to provide personalized feedback at scale. (1) Functionality to help instructors manage teams of reviewers by distributing unreviewed code and auditing their review quality. (2) Ways for students to provide ""feedback on feedback"", allowing quantification of student comprehension and uncovering learning breakdowns. (3) A RESTful API that enables instructors to programmatically read and write codePost data. The codePost API enables Princeton to connect codePost with a custom autograding environment and programmatically comment on student work according to test output. This workshop seeks to show participants one possible way of providing human feedback, which mostly scales. We will do so in two concrete steps: First, introduce participants to workflows achievable using the codePost GUI. Second, introduce the codePost API and provide tips for writing custom scripts to unlock pedagogical use cases.</p>",E145
0,,3/13/2020,7:00 PM - 10:00 PM,Friday Workshops,,,
301,765,3/13/2020,Kalpathi Subramanian; Erik Saule; Jamie Payton,"Bringing Real-World Data, Interactive Games and Visualizations Into Early CS courses Using BRIDGES","<p>Are you looking for ways to spice up your CS1, CS2, Data Structures, or Algorithm course? Come to our BRIDGES training workshop at SIGCSE 2020! BRIDGES provides an infrastructure that lets you easily bring in interesting real-world datasets into your course assignments and allows your students build simple games, create data structures visualizations, and assess algorithm performance. See the examples at <a href=""http://bridgesuncc.github.io/"">http://bridgesuncc.github.io/</a> Bring a laptop!</p>","<p>This workshop provides instructors with a hands-on introduction to BRIDGES, a software infrastructure for programming assignments in early computer science courses, including introductory programming (CS1, CS2), data structures, and algorithm analysis. BRIDGES provides capabilities for creating more engaging programming assignments, including: (1) a simplified API for accessing real-world data sets, including from social networks; scien- tific, government, and civic organizations; and movie, music, and literature collections; (2) interesting visualizations of the data, (3) an easy to use API that supports creation of games that leverage real-world data, and, (4) algorithm benchmarking. Workshop attendees will engage in hands-on experience with BRIDGES with multiple datasets and will have the opportunity to discuss how BRIDGES can be used in their own courses.</p>",C120
302,756,3/13/2020,Darina Dicheva; Keith Irwin; Austin Hodge; Christo Dichev; Lillian Cassel,Gamifying Computer Science Courses with OneUp Learning,"<p>Are you looking for new ways to better engage and motivate your students? Do you want to try making your Computer Science course more attractive? We can help! </p>
<p>Come and see what the OneUp course gamification platform offers!
You will learn how you can gamify your own classes and will get hands-on practice with using OneUp. 
Please bring your own laptop with WiFi access and the Chrome web browser, so that you can connect to OneUp. One night of lodging and workshop registration fees will be covered by an NSF grant for the first 15 registered participants.</p>
<p>Equipment Required. Participants must bring a laptop to equipment.</p>","<p>The low performance and drop-outs in Computer Science classes are frequently attributed to lack of engagement and motivation. Meanwhile, gamification increasingly attracts the interest of educators due to its potential to foster motivation and behavioral changes in learning contexts. This workshop introduces participants to the concept of gamification and the use of OneUp Learning, a platform aimed at gamifying academic courses. OneUp is aimed at encouraging students' out-of-class practicing and increasing their overall engagement in the course through employing game design elements. The platform is course-independent and highly configurable, allowing the instructor to turn on and off a number of gamification features, such as avatars, points (challenge and skill points), leaderboard, skills board, progress bar, content unlocking, goal-setting, badges, virtual currency, duels, chat, etc. For using OneUp, an instructor has to provide practice exercises and to specify the gamification elements to be used. Apart from the standard question types, OneUp supports Parson's problems and dynamic problems (e.g. programming problems). The workshop proceeds in two sessions. In the first session we introduce the OneUp platform and present our experience of gamifying CS courses. In the second, workshop attendees engage in hands-on experience: we show them how to use OneUp in their classes. In particular, we assist them to create problems and challenges, to configure desired gamification features, to define their own badges and rules for earning and spending virtual currency, and to monitor the engagement and progress of their students. Laptops required.</p>",C122
303,817,3/13/2020,Derek Runberg,CANCELLED <strike>Taking Weather Science Back Outdoors Using the micro:bit</strike>,"<p>Take weather science out of the classroom and allow students to participate in authentic, hands-on field studies on their school grounds! This workshop will be an expedition through classroom experiments that teachers can do with their students using the micro:bit and the SparkFun micro:climate kit to collect and analyze data. No prior experience necessary. Please bring a laptop or Chromebook with a USB port.</p>","<p>This workshop will be an expedition through classroom experiments that teachers can do with their students using the micro:bit and the SparkFun micro:climate kit to take weather science off the slide deck and out of the classroom to an authentic, hands-on field study on their own playground. These tools allow students to build their own instrumentation for participating in citizen science. When combined with activities designed to further student understanding, educators are able to equip students with the skills to develop questions and collect data to answer that question. Through the act of tinkering and the engineering design cycle, students will construct their own knowledge about weather and how it impacts their lives through collecting and analyzing data. Students will also develop an understanding of the atmospheric conditions around them, how to properly develop tests to receive accurate results and how to compare their results against others in their class.</p>",
304,834,3/13/2020,Shannon Duvall; Robert Duvall; Dugald Hutchings; Scott Spurlock,"Beyond the Flipped Classroom: Implementing Multiple, Simultaneous Pedagogical Styles Using Scrumage","<p>Agile methodologies claim to create effective, efficient, and happy workers by embracing a lightweight framework, autonomous teams, and rapid feedback cycles. The Scrumage (SCRUM for AGile Education) pedagogy style translates these values into the classroom. In Scrumage, students form autonomous learning cohorts and are encouraged to choose how they want to learn new material, what becomes ""homework"" versus ""classwork"", and how they spend class time. In this way, a single classroom can simultaneously facilitate game-based, flipped, and lecture-based learning. The professor becomes less of a manager and more of a learning coach. </p>
<p>This workshop will guide participants through the process of planning a course run in this unique manner, as well as give evidence for its success in courses at all levels of the curriculum. 
Laptops are optional, but participants should have access to a current course's syllabus and learning objectives to get the most out of the workshop.</p>

<p>Equipment Optional. It is not necessary for participants to bring equipment.</p>","<p>While the ""flipped classroom"" style has some educational benefits, there are also known benefits to other pedagogical approaches such as lectures, educational games, class discussions, and case studies. In addition to a wide variety of pedagogical approaches, there are a wide variety of computer science learning materials, including videos, interactive tutorials, e-textbooks and traditional textbooks. The choices of approach and materials present a series of trade-offs and may favor some groups of students over others. In this workshop, we present a methodology called Scrumage, (SCRUM for AGile Education) which allows each student in a course to adopt the pedagogical approach and materials that best fit each student's individual learning needs. Scrumage adapts concepts from the Scrum project management technique to manage student teams where the project is learning. Each team learns with the style they prefer, so that multiple pedagogical styles and materials are in use in the course simultaneously. Participants in this workshop will be introduced to the methodology, benefits, and tools of this approach and will work through guided steps to implementing it in the course of their choice.</p>",B110
305,75,3/13/2020,Leen-Kiat Soh; Markeya Peteranetz; Olga Glebova,"Adopting, Integrating, and Evaluating Computational Creativity Exercises and an Experience Report","<p>The intended audience for this workshop includes all CS educators (K-12 and post-secondary) who are interested in improving their student's learning and performance of CS concepts and computational thinking, as well as problem solving through creative thinking. The workshop and its resources will also help instructors better engage their students and serve as ideas to expand their resources to complement their teaching practices.
We will have hands-on activities working on one of the Computational Creativity exercises, and will also have an experience report on adopting the exercises at a different site not at the original site where the exercises were developed.
Participants should expert to learn about how to combine computational thinking and creative thinking; how to design meaningful and engaging exercises combining the two paradigms; be exposed to research design and the available research instruments that have been validated; how to adapt and implement the suite of Computational Creativity Exercises; and how to motivate their course design with findings regarding these exercises.
The workshop will reimburse the first 15 registered workshop participants one night of accommodation and workshop registration fee after the workshop. The workshop will also share a set of resources (Computational Creativity Exercises, Research Papers, Implementation Tips, and Research Instruments) with the participants.</p>
<p>Equipment Required. Participants must bring a laptop to equipment.</p>","<p>In this workshop, participants will learn about how to integrate computational thinking and creative thinking activities that have been shown to significantly improve student learning and performance in their classes via rigorous research investigations. In particular, participants will be familiarized with the suite of Computational Creativity Exercises (CCEs) (which are non-programming-based, group-based, active learning exercises), practice hands-on how to complete such an CCE, learn about how to integrate and adapt them into their courses, and be exposed to the educational research studies behind the development, design, and administration of these CCEs. Participants will also learn how to conduct evidence-based educational research studies. Workshop sessions will include presentations, panel-based Q&A, an experience report, breakout group discussions, and hands-on activities.</p>",B112
306,831,3/13/2020,Todd Sproull; Bill Siever,Going Native with Your Web Dev Skills: An Introduction to React Native for Mobile App Development,"<p>Do you already know JavaScript and want to create cross-platform native iOS and Android apps? Learning React Native, one of the most popular web framworks to develop native iOS and Android apps, will teach you an exciting new way to develop mobile applications using the power of the JavaScript library React.  This workshop will walk you through a brief introduction of the framework and help you build your first React Native through the hands-on demonstrations during the workshop. Attendees will also receive classroom-ready assignments using React Native.  Utilizing your existing JavaScript knowledge this workshop will teach you how to create cross-platform iOS and Android apps with React Native. Equipment Required. Participants must bring a laptop to equipment.</p>","<p>This workshop will show how web development skills can be used to develop native mobile apps (iOS, Android, and Web) via React Native, an open-source framework developed by Facebook. React Native extends the popular React web framework with support for truly native mobile apps. After completing the workshop participants will have a classroom-ready assignment to share with their students.
In Part I we will explore the basic concepts of React, which participants will use to build a website. In Part II we will discuss the ""native"" features added by React Native and extend the example into a mobile device friendly version incorporating mobile-specific concepts, such as Touch Events. In Part III we will introduce more advanced React Native topics, including debugging techniques and deployment to actual iOS/Android devices.
This workshop requires a laptop. Deployment of code to an actual device is optional but requires either an Android or iOS Device. Prior to the workshop participants will be given instructions for both software installation (required) and mobile device configuration (optional).</p>",B113
